index,"artist","album","genre","type","cover_name",cover_idx
260,"Ten Years After","Undead (Remastered) [Live]","Blues","Download","Ten Years After Undead.jpeg",1465
261,"Ten Years After","A Space In Time","Blues","Download","Ten Years After A SpaceIn Time.jpg",1464
262,"Pat Metheny Trio","Trio Live Disc 2","Jazz","CD","PatMetheny_TrioLive.jpg",1532
263,"Pat Metheny Trio","Trio Live Disc 1","Jazz","CD","PatMetheny_TrioLive.jpg",1531
264,"Oliver Kane","Shamrock Melodies","Classical","Download","Shamrock Melodies.jpg",1983
265,"Stealers Wheel","Stuck In The Middle With You (Re-Recorded _ Remastered)","Rock","Download","Stuck In The Middle With You (Re-Recorded _ Remastered).jpg",1984
305,"The Dickey Betts Band","Pattern Disruptive","rock","Download","Pattern Disruptive.jpg",1985
306,"Cat Stevens","Cat Stevens_ Greatest Hits","Rock","Download","Cat Stevens_ Greatest Hits.jpg",1986
307,"Keith Richards","Crosseyed Heart","Rock","CD","KeithRichards_Crosseyed Heart.jpg",1867
308,"R.L. Burnside","Mississippi Hill Country Blues","Blues","Download","Mississippi Hill Country Blues.jpg",1987
309,"Heart","Little Queen","Rock","download","Heart Little Queen.jpg",1307
310,"Heart","Beautiful Broken","Rock","CD","Heart_Beautiful_Broken.jpg",1306
311,"Heart","Heart_ Greatest Hits","Rock","Download","Heart-Greatest Hits.jpeg",1308
312,"Heart","Heart","Rock","CD","Heart_Heart.jpg",1305
313,"Heart","Greatest Hits","Rock","Download","TomPetty Greatest Hits.jpg",1303
314,"Redbird","Redbird","Country","Download","RedBird.jpg",1988
315,"Alabama","Alabama Greatest Hits","Country","Vinyl","Alabama.jpg",1508
316,"Alabama","For The Record [Disc 2]","Country","CD","For The Record.jpg",1511
317,"Alabama","For The Record [Disc 1]","Country","CD","For The Record.jpg",1510
318,"Alabama","Southern Drawl","Country","CD","Southern Drawl.jpg",1509
319,"Crosby, Stills, Nash & Young","4 Way Street (Live)","Rock","Download","Ohio 4 Dead.jpg",1559
320,"Crosby, Stills, Nash & Young","Crosby, Stills & Nash","Rock","CD","Crosbystillsandnash.jpg",1560
321,"Crosby, Stills, Nash & Young","Deja Vu","Rock","CD","CrosbyStillNashYoung_Deja Vu.jpg",1561
322,"Wynton Marsalis & Eric Clapton","Wynton Marsalis & Eric Clapton Play the Blues (Live from Jazz At Lincoln Center)","Jazz","Download","Wynton Marsalis & Eric Clapton Play the Blues (Live from Jazz At Lincoln Center).jpg",1018
323,"Dvorak","Dvorak's Greatest Hits","Classical","Vinyl","Dvorak's Greatest Hits.jpg",1989
324,"Herman's Hermits","The Very Best Of Herman's Hermits","Rock","CD","HermansHermits_TheVeryBestOf.jpg",1990
325,"Badfinger","The Very Best Of Badfinger","Rock","CD","BadFinger The Very Best Of.jpg",1345
326,"Badfinger","Brit Rock","Rock","Download","Brit Rock.jpg",1350
327,"Badfinger","No Matter What You Are (Re-Recorded Version)","Rock","Download","No Matter What You Are (Re-Recorded Version).jpg",1348
328,"Badfinger","20 Best of Rockin' 70's (Original Artist Re-Recording)","Rock","Download","20 Best of Rockin' 70's (Original Artist Re-Recording).jpg",1347
329,"Badfinger","Classic Soft Rock","Rock","Download","Classic Soft Rock.jpg",1349
330,"Walt Weiskopf Nonet","Siren","Jazz","Download","Siren.jpg",1991
331,"The Ventures","Walk Don't Run_ The Best of the Ventures","Rock","Download","Walk Don't Run_ The Best of the Ventures.jpg",1992
332,"Mitch Ryder & The Detroit Wheels","The Best of Mitch Ryder & the Detroit Wheels","Rock","Download","The Best of Mitch Ryder & the Detroit Wheels.jpg",1993
333,"Guns N' Roses","Appetite For Destruction","Rock","CD","GunsnRosesAppetiteforDestructionalbumcover.jpg",1841
334,"Guns N' Roses","Greatest Hits Guns N' Roses","Rock","Download","GunsNRoses Greatest Hits Guns N' Roses.jpg",1842
335,"Billie Holiday","The Best Of Billie Holiday","Blues","download","The Best Of Billie Holiday.jpg",2019
336,"Billie Holiday","The Billie Holiday Story Volume II","Blues","Vinyl","The Billie Holiday Story Volume II.jpg",2020
337,"Patti Smith","Easter","Rock","CD","PattiSmith_Easter.jpg",1127
338,"Patti Smith","Gung Ho","Rock","CD","PattiSmith_Gung_Ho.jpg",1126
339,"Patti Smith","Trampin'","Rock","Download","Trampin'.jpg",1125
340,"Patti Smith","Radio Ethiopia","Rock","Vinyl","PattiSmith Radio Ethiopia.jpg",1124
341,"Patti Smith","Outside Society","Rock","CD","PattiSmith_Outside_Society.jpg",1123
342,"Patti Smith","Gone Again","Rock","CD","PattiSmith_Gone_Again.jpg",1122
343,"Patti Smith","Twelve","Rock","CD","PattiSmith_Twelve.jpg",1121
344,"The Airborne Toxic Event","Half Of Something Else - Single","Pop","Download","Half Of Something Else - Single 1.jpg",1994
345,"Joni Mitchell","Hits","Folk","Download","Hits.jpg",1995
346,"Bad Company","In Concert - Merchants of Cool","Rock","Download","Bad Company In Concert - Merchants of Cool.jpg",1346
347,"John Scofield","A Go Go","Jazz","CD","A Go Go.jpg",1996
348,"Los Bravos","Los Bravos Single","Rock","Vinyl","LosBravos_black is black.jpg",1997
349,"The 5.6.7.8's","Bomb the Twist - EP","Rock","Download","Bomb the Twist - EP.jpg",1998
350,"Carole King","Tapestry","Pop","CD","CaroleKingTapestry.jpg",1623
351,"Stevie Ray Vaughan & Double Trouble","Texas Flood","Blues","Download","Texas Flood.png",1375
352,"Stevie Ray Vaughan & Double Trouble","Stevie Ray Vaughan & Double Trouble_ Live At Carnegie Hall","Blues","Download","Stevie Ray Vaughan & Double Trouble_ Live At Carnegie Hall.png",1374
353,"Stevie Ray Vaughan & Double Trouble","The Real Deal_ Greatest Hits, Vol #1","Blues","download","The Real Deal_ Greatest Hits, Vol. 1.jpg",1377
354,"Stevie Ray Vaughan & Double Trouble","The Real Deal_ Greatest Hits, Vol. 1","Blues","Download","The Real Deal_ Greatest Hits, Vol. 1.jpg",1376
355,"Los Lobos","Los Lobos_ Live at the Fillmore","TexMex","Download","Los Lobos_ Live at the Fillmore.jpg",1408
356,"Los Lobos","Tin Can Trust","TexMex","CD","LosLobos_TinCanTrust.jpg",1405
357,"Los Lobos","La Bamba (Original Motion Picture Soundtrack)","TexMex","Download","La Bamba (Original Motion Picture Soundtrack).jpg",1407
358,"Los Lobos","Kiko Live","TexMex","CD","LosLobos_Kiko_Live.jpg",1406
359,"Alvin Lee & Ten Years After","In Flight","rock","Download","Alvin Lee In Flight.jpg",1468
360,"Bobby Darin","Mack the Knife","Rock","CD","Mack the Knife.jpg",1999
361,"Amazula","Montego Bay","Reggae","Download","Amazulu Montego Bay.jpg",1915
362,"Simon & Garfunkel","Greatest Hits Simon & Garfunkel","Rock","CD","SimonAndGarfunkle_Greatest Hits Simon & Garfunkel.jpg",1684
363,"Simon & Garfunkel","Bridge Over Troubled Water","Rock","Vinyl","SimonAndGarfunkel_Bridge_over_Troubled_Water_(1970).png",1685
364,"Cody Bryant and The Riders Of The Purple Sage","Best of the West","Country","CD","Best of the West.jpg",2001
365,"Pearl Jam","Vs_","Rock","CD","PearlJam-Vs.jpg",1788
366,"Pearl Jam","Yield","Rock","CD","PearlJam_Yield.jpg",1789
367,"Chicago","The Very Best Of Chicago_ Only The Beginning [Disc 2]","Rock","download","Chicago_The_Very_Best_of_Chicago_Only_the_Beginning.jpg",1081
368,"Chicago","Chicago Transit Authority (Remastered)","Rock","Download","Chicago Transit Authority (Remastered).jpg",1083
369,"Chicago","The Very Best of Chicago_ Only the Beginning [Disc 1]","Rock","download","Chicago_The_Very_Best_of_Chicago_Only_the_Beginning.jpg",1082
370,"Chicago","Chicago","Rock","Vinyl","Chicago.jpg",1084
371,"Chicago","Chicago Live In Japan [Disc 2]","Rock","download","Chicago_LiveInJapan.jpg",1085
372,"Chicago","Chicago Live In Japan [Disc 1]","Rock","download","Chicago_LiveInJapan.jpg",1086
373,"Chicago","Chicago VIII [Bonus Tracks]","Rock","CD","chicago_VIII.jpg",1087
374,"Chicago","Chicago V [Bonus Tracks]","Rock","download","Chicago_-_Chicago_V.jpg",1088
375,"The Isley Brothers","The Essential Isley Brothers [Disc 1]","R&B","CD","The Essential Isley Brothers.jpg",1670
376,"The Isley Brothers","The Essential Isley Brothers [Disc 2]","R&B","CD","The Essential Isley Brothers.jpg",1671
377,"The Stooges","Fun House","Punk","CD","Fun House.jpg",1400
378,"The Stooges","The Stooges","Punk","download","The Stooges.jpg",1402
379,"The Stooges","Fun House [Disc 2]","Punk","CD","Fun House.jpg",1401
380,"The Stooges","The Stooges [Disc 2]","Punk","download","The Stooges.jpg",1403
381,"The Animals","The Best of Eric Burdon and the Animals (1966-1968)","Rock","Download","The Best of Eric Burdon and the Animals (1966-1968).jpg",1752
382,"The Animals","The Animals Original Hits","Rock","CD","The Animals Original Hits.jpg",1751
383,"Alvin Lee & Ten Years Later","Rocket Fuel","Blues","Vinyl","Rocket Fuel.jpeg",1471
384,"Patsy Cline","Patsy Cline's Greatest Hits (Remastered)","Country","CD","Patsy Cline's Greatest Hits (Remastered).jpg",1914
385,"David Bowie","Earthling","Rock","CD","DavidBowie Earthling.jpg",1097
386,"David Bowie","Aladdin Sane","Rock","CD","DavisBowieAladdinSane.jpg",1098
387,"David Bowie","Hunky Dory","Rock","CD","David_Bowie_Hunky_Dory.jpg",1099
388,"David Bowie","Space Oddity","Rock","download","DavidBowie_SpaceOddity.jpg",1100
389,"David Bowie","Best of Bowie","Rock","Download","Bowie.jpg",1101
390,"David Bowie","_Heroes_","Rock","download","David_Bowie-Heroes.png",1102
391,"David Bowie","The Best of David Bowie 1980_1987","Rock","Download","The Best of David Bowie 1980_1987.jpg",1103
392,"Mavis Staples","Only For The Lonely","R&B","CD","MavisMaples_Only_For_Lonely.jpg",1730
393,"Mavis Staples","You Are Not Alone - Single","R&B","Download","MavisStaples You Are Not Alone - Single.jpg",1731
394,"Tom Jones","Spirit In The Room","Pop","CD","TomJones Spirit In The Room.jpg",1445
395,"Tom Jones","Tom Jones_ Gold (1965-1975)","Pop","Download","TomJones_Gold.jpg",1442
396,"Tom Jones","Long Lost Suitcase","Pop","CD","TomJones_LongLostSuitcase.jpg",1443
397,"Tom Jones","Reloaded - Greatest Hits","Pop","Download","TomJones_Reloaded.jpg",1444
398,"Richard Wagner","Wagner Through the Ages","Classical","Download","Wagner Through the Ages.jpg",1808
399,"Beethoven","Beethoven Concerto In D Major OP 61","rock","download","Beethoven Concerto In D Major OP 61.jpg",2021
400,"The Brothers Johnson","Strawberry Letter 23_ The Very Best of the Brothers Johnson","rock","Download","Strawberry Letter 23_ The Very Best of the Brothers Johnson.jpg",2000
401,"Duran Duran","Greatest","Rock","CD","Duran Duran Greatest.jpg",957
402,"Gerry Rafferty","City to City","Rock","Download","City to City.jpg",2002
403,"Boz Scaggs","Silk Degrees","Rock","download","Bozz Scaggs Silk Degrees.jpg",1843
404,"Boz Scaggs","Bozz Scaggs Hits","Rock","Vinyl","Bozz Scaggs Greatest Hits.jpg",1844
405,"The Charlie Daniels Band","Charlie Daniels Band A Decade Of Hits","Country","Vinyl","Charlie Daniels A Decade.jpg",1266
406,"The Charlie Daniels Band","The Essential Charlie Daniels Band","Country","Download","CharlieDaniels The Essential.jpg",1267
407,"The Charlie Daniels Band","The Ultimate Charlie Daniels Band [Disc 1]","Country","CD","CharlieDaniels The Ultimate Charlie Daniels Band.jpg",1269
408,"The Charlie Daniels Band","The Ultimate Charlie Daniels Band [Disc 2]","Country","CD","CharlieDaniels The Ultimate Charlie Daniels Band.jpg",1270
409,"The Charlie Daniels Band","Nightrider","Country","Vinyl","CharlieDaniels_Nightrider.jpg",1265
410,"Humble Pie","Town and Country (Bonus Track Version)","Rock","Download","HumblePie Town and Country (Bonus Track Version).jpg",1724
411,"Humble Pie","Smokin'","Rock","CD","HumblePie_Smokin'.jpg",1723
412,"Alex Hargreaves","Prelude","Pop","Download","Prelude.jpg",2006
413,"Aerosmith","Get Your Wings","Rock","CD","Aeroshith Get Your Wings.jpg",1484
414,"Aerosmith","Gold_ Aerosmith","Rock","Download","Gold: Aerosmith.jpg",1482
415,"Aerosmith","Rocks","Rock","CD","Aerosmith Rocks.jpg",1483
416,"Aerosmith","Get a Grip","Rock","Download","Aerosmith Get a Grip.jpg",1485
417,"Grateful Dead","Two from the Vault Disc 2","Rock","CD","GratefulDead_Two from the Vault.jpg",983
418,"Grateful Dead","Workingman's Dead","Rock","CD","Grateful_Dead_WorkmansDead.jpg",985
419,"Grateful Dead","The Grateful Dead (Skull & Roses)","Rock","Download","The Grateful Dead (Skull & Roses).jpg",986
420,"Grateful Dead","Wake Of The Flood [Expanded]","Rock","CD","GratefulDead_Wake Of The Flood [Expanded].jpg",987
421,"Grateful Dead","In The Dark","Rock","CD","GratefulDead_In The Dark.jpg",988
422,"Grateful Dead","Go To Heaven","Rock","CD","GratefulDead_Go To Heaven.jpg",989
423,"Grateful Dead","American Beauty","Rock","CD","Grateful_Dead_-_American_Beauty.jpg",990
424,"Grateful Dead","Two from the Vault Disc 1","Rock","CD","GratefulDead_Two from the Vault.jpg",982
425,"Grateful Dead","Aoxomoxoa","Rock","download","Aoxomoxoa.jpg",981
426,"Grateful Dead","What A Long Strange Trip","Rock","Download","Grateful_Dead_What_a_Long_Strange_Trip_Its_Been.jpg",980
427,"Grateful Dead","The Best Of Fare Thee Well - Celebrating 50 Years Of Grateful Dead_ Soldier Field, Chicago, Illinois 7_3-5_15","Rock","download","GratefulDead_The Best Of Grateful Dead Fare Thee Well.jpg",979
428,"Grateful Dead","Blues For Allah","Rock","CD","GratefulDead_Blues For Allah.jpg",978
429,"Grateful Dead","Anthem Of The Sun","Rock","CD","Grateful_Dead_-_Anthem_of_the_Sun.jpg",977
430,"Grateful Dead","The Grateful Dead [Bonus Tracks]","Rock","CD","Grateful_Dead_The_Grateful_Dead.jpg",976
431,"Supertramp","Crime Of The Century","Rock","CD","Supertramp Crime Of The Century.jpg",1578
432,"Supertramp","Even In The Quietest Moments","Rock","CD","Supertramp-EveninTheQuietestMoments.jpg",1577
433,"Supertramp","Crisis_ What Crisis_","Rock","CD","Supertramp-Crisis.jpg",1576
434,"Johann Strauss","Space Odessy Sound Track","rock","Download","2001 A Space Odyssey (soundtrack).jpg",2022
435,"The Doobie Brothers","Cycles","Rock","Vinyl","DoobieBrothers_Cycles.jpg",991
436,"The Doobie Brothers","Farewell Tour (Live) [Remastered]","Rock","Download","Farewell Tour (Live) [Remastered].jpg",992
437,"The Doobie Brothers","Best Of Doobies","Rock","Vinyl","DoobieBrothers_Best Of The Doobies.jpg",993
438,"The Doobie Brothers","World Gone Crazy","Rock","Vinyl","DoobieBrothers_World_Gone_Crazy.jpg",994
439,"The Doobie Brothers","Stampede","Rock","Vinyl","DoobieBrothers_Stampede.jpg",995
440,"The Doobie Brothers","The Captain And Me","Rock","Vinyl","DoobieBrothers_The Captain And Me.jpg",996
441,"The Doobie Brothers","One Step Closer","Rock","Vinyl","DoobieBrothers_One Step Closer.jpg",997
442,"The Doobie Brothers","Takin' It To The Streets","Rock","CD","DoobieBrothers_Takin_It_To_Streets.jpg",998
443,"The Doobie Brothers","Toulouse Street","Rock","download","DoobieBrothers_Toulouse Street.jpg",999
444,"The Doobie Brothers","What Were Vices Are Now Habits","Rock","Vinyl","DoobieBrothers_What_Were_Once_Vices_Are_Now_Habits.jpg",1000
445,"America","The Warner Bros. Years 1971-1977","Pop","Download","America The Warner Bros. Years 1971-1977.jpg",1656
446,"America","History_ America's Greatest Hits","Pop","Download","History_ America's Greatest Hits.jpg",1655
447,"America","America_ The Complete Greatest Hits","Pop","Download","History_ America's Greatest Hits.jpg",1657
448,"Average White Band","Person to Person (Live)","Rock","Download","AverageWhite Person to Person (Live).jpg",1880
449,"Antonio Vivaldi","Antonio Vivaldi","Classical","Vinyl","Vivaldi.jpg",2003
450,"Barry McGuire","Eve Of Destruction","Folk","CD","Barry McGuire Eve Of Destruction.jpg",2004
451,"Buddy Holly","The Buddy Holly Collection","RockaBilly","Download","The Buddy Holly Collection.jpg",2005
452,"Ram Jam","The Very Best of Ram Jam","Rock","Download","The Very Best of Ram Jam.jpg",1907
453,"Brenda Lee","The Definitive Collection Brenda Lee","Country","CD","Brenda Lee.jpeg",1901
454,"New Riders of the Purple Sage","Boston Music Hall - December 5, 1972","Rock","Download","Boston Music Hall - December 5, 1972.jpg",1423
455,"New Riders of the Purple Sage","New Riders of the Purple Sage","Rock","Download","New Riders of the Purple Sage.jpg",1422
456,"New Riders of the Purple Sage","The Best of New Riders of the Purple Sage","Rock","Download","The Best of New Riders of the Purple Sage.jpg",1424
457,"New Riders of the Purple Sage","The Adventures of Panama Red","Rock","Download","The Adventures of Panama Red.jpg",1425
458,"Kiss","Rock And Roll Over","Rock","CD","Kiss_Rock_and_roll_over_cover.jpg",2007
459,"Drive-By Truckers","Live From Austin, TX","Rock","CD","DriveByTruckerAustinTx.jpg",1652
460,"Drive-By Truckers","American Band","Rock","CD","DriverByTruckers American Band.jpg",1654
461,"Drive-By Truckers","The Dirty South","Rock","Download","DriveByTruckers The Dirty South.jpg",1653
462,"Prince","Purple Rain","Rock","Download","Prince_PurpleRain.jpg",1871
463,"Toto","The Essential Toto","Rock","Download","Toto_Hold_the_Line.jpg",2008
464,"Dave Edmunds","Rockpile","Rock","Download","Rockpile.jpg",2009
465,"Wagner","A Wagner Concert","Classical","Download","A Wagner Concert.jpg",1806
466,"Wagner","Bernstein Conducts Wagner","Classical","Download","Bernstein Conducts Wagner.jpeg",1807
467,"Various Artists","The Swinging Sixties_ 15 Classic Tracks (Re-Recorded Versions)","rock","download",NULL,NULL
468,"Kris Kristofferson","Silver Tongued Devil And I","Country","Vinyl","KristoffersonTheSilverTonguedDevilandI.jpg",1683
469,"Kris Kristofferson","Kristofferson","Country","CD","KristoffersonAlbumCover.jpg",1682
470,"J.J. Cale","Roll On","Rock","CD","JJCale_Role_On.jpg",1732
471,"J.J. Cale","The Definitive Collection","Rock","CD","JJ_Cale.jpg",1733
472,"Iron Butterfly","In-A-Gadda-Da-Vida","Rock","CD","IronButterfly_Inagaddadavida.jpeg",2010
473,"Rush","The Spirit Of Radio_ Greatest Hits 1974-1987","Rock","CD","Rush_The Spirit Of Radio_ Greatest Hits 1974-1987.jpg",2011
474,"Asko Ensemble, Riccardo Chailly, Royal Concertgebouw Orchestra & Various Artists","Varèse_ the Complete Works (2 CDs)","rock","download","Varèse_ the Complete Works (2 CDs).jpg",2023
475,"Jim Croce","Photographs & Memories_ His Greatest Hits","Rock","CD","JimCroce_Photographsandmemories.jpg",2012
476,"Richie Havens","Live At the Cellar Door and At the Santa Monica Civic Auditorium","Blues","Download","RichHavens_CellarDoor.jpg",1593
477,"Richie Havens","Grace of the Sun","Blues","Download","Richie Haven Grace of the Sun.jpg",1595
478,"Richie Havens","Nobody Left to Crown","Blues","Download","Richie Haven Nobody Left to Crown.jpg",1594
479,"Bob Seger","Ride Out [Deluxe]","Rock","CD","Bob Seger Ride Out [Deluxe].jpg",1799
480,"Bob Seger","Bob Seger Greatest Hits","Rock","CD","Bob Seger Greatest Hits.jpg",1800
481,"Talking Heads","Little Creatures","Alternative","CD","TalkingHeads_LittleCreatures.jpg",1341
482,"Talking Heads","Talking Heads_ 77","Alternative","CD","TalkingHeads_77.jpg",1343
483,"Talking Heads","True Stories","Alternative","Vinyl","TalkingHeads_True Stories.jpg",1340
484,"Talking Heads","Remain In Light","Alternative","CD","TalkingHeadsRemaininLight.jpg",1344
485,"Talking Heads","The Best Of Talking Heads","Alternative","CD","TalkingHeads_BestOf.jpg",1342
486,"Gustav Holst","The Planets - suite","rock","download","Gustav Hoist The Planets - suite.jpg",1893
487,"Union Gap","Union Gap","Rock","Vinyl","Union_Gap.jpg",2013
488,"Elvin Bishop","Throwback Tunes_ 70s","Rock","Download","Throwback Tunes_ 70s.jpg",2014
489,"Cheap Trick","In Color [Bonus Tracks]","Rock","CD","Cheap_Trick_In_Color.jpg",1646
490,"Cheap Trick","Bang, Zoom, Crazy... Hello","Rock","CD","CheapTrick_Bang, Zoom, Crazy... Hello.jpg",1647
491,"Cheap Trick","We're All Alright!","Rock","CD","CheapTrick_We're All Alright!.jpg",1648
492,"The Soundtrack Studio Stars","Sounds of Tarantino","Rock","Download","Sounds of Tarantino.jpg",1925
493,"The Grass Roots","The Complete Original Dunhill_ABC Hit Singles","rock","CD","The Complete Original Dunhill_ABC Hit Singles.jpg",2015
494,"Neil Diamond","The Neil Diamond Collection","Pop","CD","Neil Diamond Collection.jpg",1745
495,"Neil Diamond","All-Time Greatest Hits","Pop","CD","The Neil Diamond The Collection.jpg",1746
496,"Keith Urban","Keith Urban _ Fuse","Rock","download","Keith Urban _ Fuse.jpg",2016
497,"Chet Atkins and Hank Snow","Reminiscing","Country","Vinyl","Reminiscing_Atkins_Snow.jpg",1624
498,"The Monkees","The Monkees Greatest Hits","Rock","CD","TheMonkees_Hits.jpg",1890
499,"Herbie Hancock","Future 2 Future","Jazz","CD","Future 2 Future.jpg",2024
500,"Carl Perkins","Rock 'N' Roll Legend_ Carl Perkins","RockaBilly","Download","Rock 'N' Roll Legend_ Carl Perkins.jpg",2025
501,"Jefferson Airplane","Surrealistic Pillow","Rock","Vinyl","JeffersonAirplane_Surrealistic Pillow.jpeg",1643
502,"Jefferson Airplane","The Essential Jefferson Airplane [Disc 1]","Rock","download","The Essential Jefferson Airplane.jpg",1644
503,"Jefferson Airplane","The Essential Jefferson Airplane [Disc 2]","Rock","download","The Essential Jefferson Airplane.jpg",1645
504,"The Spinners","The Definitive Soul Collection Of The Spinners [Disc 2]","R&B","CD","TheSpinners_DefinitiveSoul.jpg",1858
505,"The Spinners","The Definitive Soul Collection Of The Spinners [Disc 1]","R&B","CD","TheSpinners_DefinitiveSoul.jpg",1857
506,"Boxcar Willie","The Definitive Collection of Boxcar Willie (Live)","Country","Download","The Definitive Collection of Boxcar Willie (Live).jpg",1902
507,"Lou Reed","Transformer","Rock","Download","LouReed Transformer.jpg",1739
508,"Lou Reed","New York","Rock","CD","LouReed_NewYork.jpg",1738
509,"Pete Seeger & Arlo Guthrie","Pete Seeger & Arlo Guthrie - Together In Concert","Folk","Vinyl","PeteSeeger&ArloGuthrie .jpg",1756
510,"Devin Duval, Vishal Nayak, Daniel Rio","Fordham Session","rock","CD",NULL,NULL
511,"Fleet Foxes","Helplessness Blues","Indie Rock","Download","FleetFoxes Helplessness Blues.jpg",1672
512,"Fleet Foxes","Fleet Foxes","Indie Rock","download","Fleet Foxes.jpg",1673
513,"John Fahey","The Best of John Fahey 1959-1977 (Remastered)","Pop","Download","The Best of John Fahey 1959-1977 (Remastered).jpg",2026
514,"Ian Anderson","Thick As A Brick 2","Rock","CD","IanAnderson_Thick As A Brick 2.jpg",2027
515,"T. Rex","Electric Warrior","Rock","CD","Electric Warrior (Remastered).jpg",1639
516,"T. Rex","The Slider","Rock","CD","T_Rex_The_Slider.jpg",1640
517,"T. Rex","Electric Warrior (Remastered)","Rock","Download","Electric Warrior (Remastered).jpg",1642
518,"Dierks Bentley","Up On the Ridge","Country","Download","DierksBentley Up On the Ridge.jpg",1920
519,"Hank Williams","24 of Hank Williams' Greatest Hits","Country","Download","HankWilliams.jpg",1895
520,"Sonny & Cher","The Beat Goes On_ The Best Of Sonny & Cher","Rock","CD","The Beat Goes On_ The Best Of Sonny & Cher.jpg",2031
521,"The Bad Plus","Inevitable Western","rock","download","Bad Plus Inevitable Western.jpg",1351
522,"Blue Oyster Cult","Imaginos","Rock","CD","BlueOysterCult_Imaginos.jpg",1822
523,"Blue Oyster Cult","The Essential Blue Oyster Cult","Rock","CD","BlueOysterCult_The_Essential.jpg",1821
524,"Jerry Garcia Band","GarciaLive, Vol. 8 [Disc 1]","Rock","CD","Garcia-Live-Volume-8.jpg",1360
525,"Jerry Garcia Band","GarciaLive, Vol. 8 [Disc 2]","Rock","CD","Garcia-Live-Volume-8.jpg",1361
526,"Jerry Garcia Band","GarciaLive, Vol. 5 [Disc 2]","Rock","CD","JerryGarciaBand_Vol_5.jpg",1362
527,"Jerry Garcia Band","GarciaLive Volume Seven_ November 8th, 1976 Sophie's Palo Alto","Rock","download","GarciaLive Volume Seven_ November 8th, 1976 Sophie's Palo Alto.jpg",1364
528,"Jerry Garcia Band","GarciaLive, Vol. 5 [Disc 1]","Rock","CD","JerryGarciaBand_Vol_5.jpg",1363
529,"Thin Lizzy","Jailbreak","Rock","CD","Thin Lizzy Jailbreak.jpg",1580
530,"Thin Lizzy","Bad Reputation","Rock","CD","ThinLizzy_BadRep.jpg",1579
531,"Thin Lizzy","Jailbreak [Disc 2]","Rock","CD","Thin Lizzy Jailbreak.jpg",1581
532,"The Shangri-Las","Golden Legends The Shangri-Las","Pop","CD","Golden Legends The Shangri-Las.jpg",2028
533,"The Cal Tjader Quintet","Monterey Concerts","Jazz","CD","Monterey Concerts.jpg",2029
534,"Lynyrd Skynyrd","Gimme Back My Bullets","Country","Vinyl","LynardSkynard_Gimme Back Bullets.jpg",1504
535,"Lynyrd Skynyrd","One From The Road","Country","Vinyl","LynardSkynard_One More For The Road.jpg",1507
536,"Lynyrd Skynyrd","Street Survivors","Country","CD","LynardSkynyrd_Street Survivors.jpg",1506
537,"Lynyrd Skynyrd","Pronounced Leh-nerd Skin-nerd","Country","CD","The Voice Of The Sparrow_ Lynyrdskynyrd_Pronounced.jpg",1503
538,"Tommy James & The Shondells","Rhino Hi-Five_ Tommy James & the Shondells - EP","Rock","download","Rhino Hi-Five_ Tommy James & the Shondells - EP.jpg",1892
539,"Freddie Notes & The Rudies","Montego Bay","Reggae","Download","Amazulu Montego Bay.jpg",1915
540,"Led Zeppelin","The Song Remains the Same Disc 2","Rock","CD","LedZepplin_Sound_Remains_Same.jpeg",1230
541,"Led Zeppelin","Mothership (Remastered)","Rock","Download","LedZepplin Mothership (Remastered).jpg",1229
542,"Led Zeppelin","The Song Remains the Same Disc 1","Rock","CD","LedZepplin_Song Remains Same.jpg",1228
543,"Led Zeppelin","Physical Graffiti [Disc 2]","Rock","download","LedZeppelin_Physical Graffiti [Disc 1].jpg",1226
544,"Led Zeppelin","Physical Graffiti (Remastered)","Rock","Download","LedZeppelin_Physical Graffiti [Disc 1].jpg",1227
545,"Led Zeppelin","Physical Graffiti [Disc 1]","Rock","CD","LedZeppelin_Physical Graffiti [Disc 1].jpg",1225
546,"Commander Cody & His Lost Planet Airmen","Commander Cody & His Lost Planet Airmen","Rock","Download","Commander Cody & His Lost Planet Airmen.jpg",1814
547,"Commander Cody & His Lost Planet Airmen","Lost in the Ozone","Rock","Download","Cody and Lost Planet Lost in the Ozone.jpg",1813
548,"Black Sabbath","Paranoid","Metal","CD","Black Sabbath Paranoid.jpg",1523
549,"Black Sabbath","Black Sabbath","Metal","CD","Black Sabbath.jpg",1526
550,"Black Sabbath","Sabbath Bloody Sabbath","Metal","CD","Sabbath Bloody Sabbath.jpg",1524
551,"Black Sabbath","Technical Ecstasy","Metal","CD","Technical Ecstasy.jpg",1525
552,"Mark Knopfler & Emmylou Harris","This Is Us","Rock","Download","This Is Us.jpg",1155
553,"The Sweet","Desolation Boulevard","Rock","Download","Desolation Boulevard.jpg",2030
554,"Leo Ferre","Zoo","French Pop","Vinyl","Zoo.jpg",2032
555,"Muddy Waters","Authorized Bootleg - Fillmore Auditorium, San Francisco Nov. 4-6 1966","Blues","Download","muddy waters boot leg.jpg",1837
556,"Muddy Waters","Hard Again","Blues","Download","MuddyWaters Hard Again.jpg",1838
557,"The Fortunes","The Best of the Fortunes (Rerecorded Version)","rock","download","The Best of the Fortunes (Rerecorded Version).jpg",1883
558,"Eric Clapton","I Still Do","Rock","CD","Clapton_I_Still_Do.jpg",1001
